id,Indice,Indice_d,Categoria,Categoria_d,Grupo,Grupo_d,Elemento,Descricao,variavel,Categoria_key,Grupo_key
Table,Table,of Contents,,,,,,of Contents,,,
1,1,Explanatory Notes,,,,,,Explanatory Notes,,,
1.1,1,Explanatory Notes,1,New in Version 14 compared to Version,,,,New in Version 14 compared to Version,,1.1,
1.2,1,Explanatory Notes,2,Cautionary Notes,,,,Cautionary Notes,,1.2,
1.3,1,Explanatory Notes,3,Suggested Citation,,,,Suggested Citation,,1.3,
1.4,1,Explanatory Notes,4,Variable Information,,,,Variable Information,,1.4,
1.4.1,1,Explanatory Notes,4,Variable Information,1,Variable Types,,Variable Types,,1.4,1.4.1
1.4.2,1,Explanatory Notes,4,Variable Information,2,Number of Variables,,Number of Variables,,1.4,1.4.2
1.4.3,1,Explanatory Notes,4,Variable Information,3,Variable Versions and Suffixes,,Variable Versions and Suffixes,,1.4,1.4.3
1.4.4,1,Explanatory Notes,4,Variable Information,4,Variable Tags,,Variable Tags,,1.4,1.4.4
1.4.5,1,Explanatory Notes,4,Variable Information,5,Variable Entry Clarifications,,Variable Entry Clarifications,,1.4,1.4.5
1.5,1,Explanatory Notes,5,Notes on Methodology,,,,Notes on Methodology,,1.5,
1.5.1,1,Explanatory Notes,5,Notes on Methodology,1,Index Aggregation,,Index Aggregation,,1.5,1.5.1
1.5.2,1,Explanatory Notes,5,Notes on Methodology,2,Country–Year Aggregation,,Country–Year Aggregation,,1.5,1.5.2
1.5.3,1,Explanatory Notes,5,Notes on Methodology,3,Open source code,,Open source code,,1.5,1.5.3
1.6,1,Explanatory Notes,6,Country Units,,,,Country Units,,1.6,
1.7,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,,Identifier Variables in the V-Dem Datasets,,1.7,
1.7.1,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,1,Country Name,country_name,1.7,1.7.1
1.7.2,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,2,Time-Specific Country Name,histname,1.7,1.7.2
1.7.3,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,3,V-Dem Country ID,country_id,1.7,1.7.3
1.7.4,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,4,Country Name Abbreviation,country_text_id,1.7,1.7.4
1.7.5,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,5,Year,year,1.7,1.7.5
1.7.6,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,6,Historical Date,historical_date,1.7,1.7.6
1.7.7,1,Explanatory Notes,7,Identifier Variables in the V-Dem Datasets,,,7,Start of Coding Period,codingstart,1.7,1.7.7
